#517905Machine Module,N9343C,CN06050901
MCU Version,A.05.08
DSP Version,A.04.00.00 SA
FPGA Version,A.02.80
07:20:57 04.14.2019
GPS Location:,Unlocked
Y Axis Scale,LOG
Y Axis Unit,dBm
+8.610086957e+08,-1.023438873e+02,
+8.631804348e+08,-1.044971771e+02,
+8.653521739e+08,-1.038428650e+02,
+8.675239130e+08,-1.033190689e+02,
+8.696956522e+08,-1.040174942e+02,
+8.718673913e+08,-9.055845642e+01,
+8.740391304e+08,-9.635588074e+01,
+8.762108696e+08,-1.036364059e+02,
+8.783826087e+08,-1.031000519e+02,
+8.805543478e+08,-1.037560959e+02,
+8.827260870e+08,-1.020760880e+02,
+8.848978261e+08,-1.025018387e+02,
+8.870695652e+08,-1.036091385e+02,
+8.892413043e+08,-1.038492966e+02,
+8.914130435e+08,-1.042962723e+02,
+8.935847826e+08,-1.036721497e+02,
+8.957565217e+08,-1.034263306e+02,
+8.979282609e+08,-1.040905762e+02,
+9.001000000e+08,-1.035505600e+02,
+9.022717391e+08,-1.038780136e+02,
+9.044434783e+08,-1.030733643e+02,
+9.066152174e+08,-1.023964920e+02,
+9.087869565e+08,-1.036004639e+02,
+9.109586957e+08,-1.032647629e+02,
+9.131304348e+08,-1.041382217e+02,
+9.153021739e+08,-1.033130646e+02,
+9.174739130e+08,-1.033703079e+02,
+9.196456522e+08,-1.036514969e+02,
+9.218173913e+08,-1.038710785e+02,
+9.239891304e+08,-1.025236511e+02,
+9.261608696e+08,-9.130874634e+01,
+9.283326087e+08,-9.032473755e+01,
+9.305043478e+08,-9.800278473e+01,
+9.326760870e+08,-9.421489716e+01,
+9.348478261e+08,-8.164885712e+01,
+9.370195652e+08,-7.808558655e+01,
+9.391913043e+08,-9.465068054e+01,
+9.413630435e+08,-9.471039581e+01,
+9.435347826e+08,-8.056479645e+01,
+9.457065217e+08,-7.106267548e+01,
+9.478782609e+08,-8.675765991e+01,
+9.500500000e+08,-9.040761566e+01,
+9.522217391e+08,-1.014534302e+02,
+9.543934783e+08,-1.002933807e+02,
+9.565652174e+08,-9.932731628e+01,
+9.587369565e+08,-9.850944519e+01,
+9.609086957e+08,-1.029251633e+02,
+9.630804348e+08,-1.033545151e+02,
+9.652521739e+08,-1.031948318e+02,
+9.674239130e+08,-1.034422760e+02,
+9.695956522e+08,-1.040129242e+02,
+9.717673913e+08,-1.039296951e+02,
+9.739391304e+08,-1.032603149e+02,
+9.761108696e+08,-1.030165176e+02,
+9.782826087e+08,-1.024766312e+02,
+9.804543478e+08,-1.020641251e+02,
+9.826260870e+08,-1.040831985e+02,
+9.847978261e+08,-1.035400314e+02,
+9.869695652e+08,-1.028032532e+02,
+9.891413043e+08,-1.036700897e+02,
+9.913130435e+08,-1.033487320e+02,
+9.934847826e+08,-1.024451370e+02,
+9.956565217e+08,-1.024673080e+02,
+9.978282609e+08,-1.024790955e+02,
+1.000000000e+09,-1.031518173e+02,

